,id,condition,RT
0,37321,condition_b,973.7206574914571
1,37321,baseline,449.8320926718468
2,37321,condition_a,607.9267579005559
3,37321,baseline,391.60838149666137
4,37321,condition_a,749.9306254142858
5,37321,baseline,456.9194787081316
6,37321,condition_b,150.25439415381572
7,37321,baseline,208.02857541458565
8,37321,condition_a,873.2659323143785
9,37321,condition_a,319.15912188056757
10,37321,condition_a,317.82323416000605
11,37321,baseline,369.5509677255976
12,37321,condition_b,514.3481790616545
13,37321,baseline,364.9573341028536
14,37321,condition_b,279.30466774194076
15,37321,baseline,516.1685722314695
16,37321,condition_a,443.83855558320136
17,37321,condition_a,1170.1694673512523
18,37321,condition_a,572.0462109057466
19,37321,condition_a,575.3218949958191
20,37321,baseline,198.051946154005
21,37321,baseline,459.50423720894963
22,37321,condition_b,327.4279719567429
23,37321,condition_a,484.25400484345033
24,37321,condition_a,320.37773509546884
25,37321,condition_a,166.45583269096838
26,37321,condition_b,331.21009236889955
27,37321,baseline,754.6205643777532
28,37321,baseline,460.32848734910687
29,37321,condition_a,417.9113817897107
30,37321,condition_b,348.9696358345698
31,37321,baseline,459.6359301092733
32,37321,baseline,533.1298828371373
33,37321,condition_b,472.6093598359153
34,37321,condition_a,841.1607863846085
35,37321,condition_b,359.08846383552503
36,37321,condition_a,752.3822341136744
37,37321,condition_a,670.6212153488369
38,37321,condition_b,192.46183227906772
39,37321,condition_b,329.52499682594316
40,37321,condition_a,584.7729546343397
41,37321,condition_b,559.5110725100546
42,37321,condition_b,486.9860097581086
43,37321,baseline,557.9529666569745
44,37321,baseline,118.93586817073599
45,37321,condition_a,493.0980035835344
46,37321,baseline,257.17795716697736
47,37321,condition_a,708.0127993308577
48,37321,condition_b,106.24724373410561
49,37321,condition_a,895.8392771238136
50,37321,baseline,862.1625866918424
51,37321,condition_b,106.67957028859965
52,37321,condition_b,494.44872647284205
53,37321,baseline,179.13373931893307
54,37321,condition_b,638.0866479967892
55,37321,baseline,457.1314560251486
56,37321,condition_b,571.9328279243097
57,37321,baseline,442.3413320310406
58,37321,condition_b,179.2550519481167
59,37321,condition_b,375.04221559432204
60,37321,condition_b,333.6460420780273
61,37321,condition_b,248.27267575417363
62,37321,condition_b,398.41414554284626
63,37321,condition_b,367.4680189239283
64,37321,condition_a,575.9935942032452
65,37321,condition_a,484.5096848069109
66,37321,condition_a,647.4651781483399
67,37321,condition_a,230.9055497601001
68,37321,condition_a,555.8663817989398
69,37321,baseline,770.9367494879913
70,37321,condition_b,402.9647771344004
71,37321,condition_b,291.3618893753447
72,37321,condition_b,274.40732986550603
73,37321,baseline,440.51926548863366
74,37321,condition_b,510.2605117323592
75,37321,baseline,333.78336559423735
76,37321,baseline,354.3420197484641
77,37321,baseline,280.35974487316906
78,37321,condition_a,429.03595586032753
79,37321,baseline,287.07654128997183
80,37321,condition_b,547.2592418217112
81,37321,baseline,328.49334660821086
82,37321,baseline,385.65896238391326
83,37321,condition_a,652.409502180584
84,37321,condition_b,491.955520045298
85,37321,baseline,420.7170051888684
86,37321,condition_a,1157.1092291637856
87,37321,condition_a,294.00960175195655
88,37321,baseline,290.73921316817444
89,37321,condition_b,258.31664465421755
90,37321,condition_a,1185.0365161751836
91,37321,condition_a,248.3575702981589
92,37321,baseline,247.80519789904113
93,37321,baseline,282.5536253277618
94,37321,baseline,568.4505939110587
95,37321,condition_a,567.8931705283287
96,37321,condition_a,738.230411609379
97,37321,condition_b,306.07483378496823
98,37321,condition_a,413.5646796023907
99,37321,condition_a,379.6080930076542
100,37321,condition_a,951.8662336497111
101,37321,condition_b,163.9556169064765
102,37321,condition_a,644.2509022950783
103,37321,baseline,483.18461808748526
104,37321,condition_b,860.4792364782454
105,37321,baseline,245.20901632211223
106,37321,condition_a,574.187367318726
107,37321,baseline,392.85795320115403
108,37321,condition_b,248.55412662174166
109,37321,baseline,1323.2153779361668
110,37321,baseline,511.5580131743469
111,37321,condition_b,380.1590825461912
112,37321,condition_b,590.94109837591
113,37321,condition_a,1187.6276358091752
114,37321,condition_b,377.4740976753246
115,37321,condition_b,387.3330759921305
116,37321,baseline,230.5736072376291
117,37321,baseline,307.47661618968516
118,37321,condition_a,267.72058284287317
119,37321,condition_b,320.0872622697063
