,id,condition,RT
0,83312,condition_a,737.2122381927312
1,83312,condition_b,362.4040833650149
2,83312,baseline,237.24352433769099
3,83312,baseline,516.5328973223867
4,83312,condition_b,142.357624807256
5,83312,condition_b,417.4735024170021
6,83312,baseline,394.027784742754
7,83312,condition_a,444.87856799777995
8,83312,condition_a,1170.9640194402346
9,83312,condition_a,763.3957501600938
10,83312,baseline,319.3825298827714
11,83312,condition_b,322.94837807689436
12,83312,condition_b,910.2142845491547
13,83312,baseline,280.4890448739639
14,83312,baseline,877.3461793913151
15,83312,condition_b,244.90578631888644
16,83312,condition_b,209.34147798407673
17,83312,condition_a,363.26302569434097
18,83312,condition_b,438.48449775697287
19,83312,condition_b,296.55775577094283
20,83312,condition_b,473.4893556519473
21,83312,baseline,238.83292068266414
22,83312,baseline,282.23468327636493
23,83312,condition_b,292.1942421869148
24,83312,condition_b,584.5622581209884
25,83312,condition_a,244.06139020449112
26,83312,condition_a,1641.0484158714223
27,83312,condition_b,174.06599584713405
28,83312,baseline,266.90141118931854
29,83312,condition_b,201.58553258363426
30,83312,condition_b,390.7819718679745
31,83312,baseline,115.27867776351033
32,83312,baseline,238.2968504595793
33,83312,baseline,598.3878787836555
34,83312,condition_b,281.74676737947357
35,83312,baseline,264.2388353488839
36,83312,baseline,302.45362849526487
37,83312,condition_a,490.062561367984
38,83312,condition_b,581.8026633367977
39,83312,condition_a,718.8157803632345
40,83312,baseline,442.6673718938008
41,83312,condition_a,395.9198875652692
42,83312,condition_b,1061.6894490687482
43,83312,condition_b,288.80483376819944
44,83312,baseline,395.3028930896094
45,83312,baseline,671.3374063076393
46,83312,condition_a,1288.5170938644487
47,83312,condition_b,122.01233458421386
48,83312,baseline,205.08140429822882
49,83312,condition_a,523.1343601781821
50,83312,condition_b,393.45065263981184
51,83312,condition_a,474.35657987475247
52,83312,baseline,122.9114106455486
53,83312,condition_b,215.89015010581124
54,83312,condition_a,445.29802425299954
55,83312,baseline,520.824636190724
56,83312,baseline,233.03525562058724
57,83312,condition_b,840.8822713223288
58,83312,condition_a,657.5148574204808
59,83312,baseline,408.4006565014109
60,83312,baseline,497.09624827955247
61,83312,baseline,521.5763136011933
62,83312,condition_b,421.95411191705597
63,83312,baseline,434.8348178032393
64,83312,condition_a,1060.089809200254
65,83312,baseline,368.5321935855579
66,83312,condition_a,285.4311998616316
67,83312,condition_b,535.4740120657274
68,83312,condition_a,616.5161535658334
69,83312,condition_b,191.5395211160868
70,83312,baseline,833.5588602478601
71,83312,condition_b,391.1053966304617
72,83312,condition_b,288.42299820292885
73,83312,condition_a,341.6606197404987
74,83312,condition_a,251.2465558413826
75,83312,condition_b,695.9723423307247
76,83312,condition_b,350.5387831617808
77,83312,condition_a,1443.3228526893697
78,83312,condition_a,449.70661354470536
79,83312,baseline,637.373138867509
80,83312,condition_a,1323.9480529006235
81,83312,condition_b,322.2596099079362
82,83312,baseline,329.0451974370111
83,83312,condition_a,444.69693110838966
84,83312,condition_b,250.3517040264791
85,83312,condition_b,433.1875717214441
86,83312,baseline,350.65502148239483
87,83312,condition_a,805.149936005515
88,83312,condition_b,861.7144295286365
89,83312,baseline,1214.185018329264
90,83312,baseline,367.66992087031656
91,83312,condition_a,639.4318560949667
92,83312,baseline,325.6959367503413
93,83312,condition_a,1544.945797682863
94,83312,condition_a,337.98925527870705
95,83312,condition_b,274.06116216453904
96,83312,baseline,401.4181516347727
97,83312,condition_b,204.1063196053447
98,83312,baseline,477.8805123635806
99,83312,condition_a,571.4397692061561
100,83312,baseline,217.90280548133236
101,83312,condition_a,1398.1254158616289
102,83312,condition_a,1380.2573023477144
103,83312,baseline,543.3360937152519
104,83312,condition_a,387.6394286628624
105,83312,condition_b,1121.4098248703478
106,83312,condition_a,951.8243617169231
107,83312,condition_a,462.584498020959
108,83312,condition_a,276.5128512724514
109,83312,baseline,298.42462976878363
110,83312,baseline,561.6146386628744
111,83312,condition_b,283.53273268596485
112,83312,condition_a,370.1740309540335
113,83312,condition_a,825.9286875620376
114,83312,condition_a,258.2963249159646
115,83312,condition_a,484.29436220129486
116,83312,baseline,268.2522642466477
117,83312,condition_b,446.3360553230927
118,83312,condition_b,245.8375536368165
119,83312,condition_a,3306.2172209619725
